iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f,Remoteness,,
ABW,NZL,13079.86588,1,0,,1.30E+11,4815.666504,13018.37549,956774.3125,1.63E+07,1.00E-07,,
ABW,OMN,13071.64101,0,0,,1.31E+11,1499.400024,13136.18454,1003802.25,1.61E+07,9.95E-08,,
ABW,PAK,13748.6644,1,0,,1.38E+11,216.3999939,13772.53361,1111423.75,1.61E+07,9.98E-08,,
ABW,PAN,1182.385733,0,0,,11098325755,36,1109.832576,1246882.75,1.72E+07,1.07E-07,,
ABW,PER,2758.857643,0,0,,28383473605,325.8399963,2838.34736,949367.0625,1.57E+07,9.72E-08,,
ABW,PHL,16868.51916,1,0,,1.68E+11,192.3333282,16766.94249,705108.0625,1.63E+07,1.01E-07,,
ABW,PNG,15932.05114,1,0,,1.59E+11,11112.40039,15945.4165,489339.375,1.62E+07,9.99E-08,,
ABW,POL,8884.096646,0,0,,89809259039,923.1599731,8980.925904,931732.625,1.60E+07,9.89E-08,,
ABW,PRK,13996.79206,0,0,38885004,1.41E+11,2585,14055.0719,924869,1.61E+07,9.96E-08,,
ABW,PRT,6626.685056,0,0,,66270680907,313.8666687,6627.068091,918005.4375,1.62E+07,1.00E-07,,
ABW,PRY,4436.560162,0,0,,44114234851,9435,4411.423485,1003928.438,1.63E+07,1.01E-07,,
ABW,PYF,9363.776092,0,0,228182800,93449950216,27540,9344.995022,969409.75,1.62E+07,1.00E-07,,
ABW,QAT,12418.48877,0,0,,1.24E+11,2862.919922,12419.02055,711675.3125,1.62E+07,1.00E-07,,
ABW,REU,14168.52001,0,0,19550126,1.42E+11,2837,14161.06771,1060752.125,1.62E+07,1.00E-07,,
ABW,ROM,9448.061215,0,0,6771824.5,95154558291,1093,9515.455829,1695607.75,1.61E+07,9.93E-08,,
ABW,RUS,10523.26535,0,0,,99278270786,5334.163086,9927.827079,1206790.75,1.71E+07,1.06E-07,,
ABW,RWA,11138.65365,1,0,,1.12E+11,6818.600098,11153.65962,1407318.125,1.62E+07,9.99E-08,,
ABW,SAU,11731.10983,0,0,,1.20E+11,73.1333313,12009.68027,1069723,1.58E+07,9.77E-08,,
ABW,SDN,10934.82221,0,0,,1.09E+11,2632.52002,10942.27022,741656.375,1.62E+07,9.99E-08,,
ABW,SEN,5733.223384,0,0,,56782068318,879.5999756,5678.206832,830121.5625,1.63E+07,1.01E-07,,
ABW,SGP,18355.23261,1,0,,1.83E+11,684.9333496,18338.58179,952787.25,1.62E+07,1.00E-07,,
ABW,SLB,14593.49465,0,0,,1.46E+11,1709.52002,14555.18907,711881.9375,1.62E+07,1.00E-07,,
ABW,SLE,6281.981129,1,0,,62157902369,584.2666626,6215.790237,923933.6875,1.63E+07,1.01E-07,,
ABW,SLV,2081.71471,0,0,,20777951302,2488,2077.79513,1342118.125,1.62E+07,1.00E-07,,
ABW,SOM,12607.73357,0,0,,1.27E+11,1435.06665,12703.06595,927492,1.61E+07,9.92E-08,,
ABW,SPM,4035.538593,0,0,11045832,40243957116,924.0269775,4024.395712,761730.625,1.62E+07,1.00E-07,,
ABW,STP,8558.069203,0,0,1700000,85581391793,326,8558.139179,1705488.375,1.62E+07,1.00E-07,,
ABW,SUR,1873.901373,1,0,,17910463903,4707.899902,1791.04639,1832036,1.69E+07,1.05E-07,,
ABW,SVK,8902.04922,0,0,,87647033913,220.1999969,8764.703391,2060470.25,1.64E+07,1.02E-07,,
ABW,SVN,8617.865149,0,0,,85911467329,2135,8591.146733,2358633.25,1.62E+07,1.00E-07,,
ABW,SWE,8587.527722,0,0,1900000,87058102799,326,8705.81028,2110372.5,1.60E+07,9.86E-08,,
ABW,SWZ,11750.85047,0,0,,1.17E+11,3521,11724.92084,1965670,1.62E+07,1.00E-07,,
ABW,SYC,13976.95202,1,0,,1.40E+11,6909.5,13967.66012,2512702,1.62E+07,1.00E-07,,
ABW,SYR,10724.00784,0,0,,1.07E+11,4834.5,10704.97581,2605080.75,1.62E+07,1.00E-07,,
ABW,TCD,9341.912636,0,0,,91970468024,2884.659912,9197.046802,2161662.75,1.64E+07,1.02E-07,,
ABW,TGO,7805.199688,0,0,,78299550115,225.8200073,7829.955012,1865245.25,1.61E+07,9.97E-08,,
ABW,THA,16932.43068,0,0,,1.69E+11,779.2999878,16913.061,1817174.125,1.62E+07,1.00E-07,,
ABW,TJK,12918.99403,0,0,,1.29E+11,100,12907.7174,2263915.75,1.62E+07,1.00E-07,,
ABW,TKM,12265.08232,0,0,11148161,1.23E+11,944.4899902,12252.0112,2190977,1.62E+07,1.00E-07,,
ABW,TON,12052.02963,0,0,,1.21E+11,199.5,12058.06998,1495247.5,1.62E+07,9.99E-08,,
ABW,TTO,960.614341,1,0,,9505932432,31296.67383,950.5932432,1336292.875,1.63E+07,1.01E-07,,
ABW,TUN,8334.207951,0,0,,83129764057,359.8999939,8312.976406,1946971.625,1.62E+07,1.00E-07,,
ABW,TUR,10126.41731,0,0,,1.02E+11,10383.41992,10186.10434,3066911.25,1.61E+07,9.94E-08,,
ABW,TUV,12533.82089,0,0,,1.25E+11,594.7999878,12453.61838,3302149,1.63E+07,1.01E-07,,
ABW,TWN,15771.77413,0,0,,1.57E+11,2511,15651.88699,3626793.75,1.63E+07,1.01E-07,,
ABW,TZA,11986.51587,0,0,232957184,1.23E+11,27807,12261.00399,4331447,1.58E+07,9.78E-08,,
ABW,UGA,11347.05682,1,0,,1.14E+11,2088,11368.96752,4760479,1.61E+07,9.98E-08,,
ABW,UKR,9909.713044,0,0,,96677593630,2280.899902,9667.759363,5908183.5,1.66E+07,1.03E-07,,
ABW,URY,5392.856434,0,0,,54701656170,521.2999878,5470.165617,6097804,1.59E+07,9.86E-08,,
ABW,USA,3859.885423,1,0,6984199.5,27730159769,1108,2773.015977,6357285.5,2.25E+07,1.39E-07,,
ABW,USSR,,0,0,,99278270786,322.1000061,9927.827079,9600798,0.00E+00,0,,
ABW,UZB,12713.7855,0,0,,1.27E+11,1343,12718.79739,9790419,1.62E+07,1.00E-07,,
ABW,VCT,953.5869628,1,0,,9579387571,106.0999985,957.9387571,10595535,1.61E+07,9.95E-08,,
ABW,VEN,437.7823585,0,0,,4074050215,3717,407.4050215,18132998,1.74E+07,1.07E-07,,
ABW,VNM,17039.93475,0,0,,1.63E+11,627.8200073,16257.86344,26607154,1.70E+07,1.05E-07,,
ABW,VUT,13796.53126,1,0,373004000,1.37E+11,23847,13749.34828,39035732,1.62E+07,1.00E-07,,
ABW,WDEU,,0,0,,81411815575,60460.5,8141.181558,33678588,0.00E+00,0,,
ABW,WSM,11605.07995,1,0,,1.16E+11,6872.299805,11579.64419,43392876,1.62E+07,1.00E-07,,
