value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,,,,
-23109,30106,-0.767587856,-17083.82601,29503.88,-0.579036588,,,,
-15650,24589,-0.636463459,-10236.97754,24097.22,-0.424819856,,,,
-24380.02153,25338,-0.962192025,-22352.37096,25338,-0.882167928,,,,
-26795.2626,38767,-0.691187417,-18262.6459,34114.96,-0.53532661,,,,
-10654.81741,17634,-0.60422011,-7125.689726,17281.32,-0.412334806,,,,
-35816,52795,-0.678397576,-25252.7764,46459.6,-0.543542699,,,,
-22570,25540,-0.883711825,-17969.53088,25540,-0.703583825,,,,
-13323,23315,-0.571434699,-8657.6685,22848.7,-0.378912958,,,,
-32905,34865,-0.943783164,-32905,34865,-0.943783164,,,,
-24701.9325,26636,-0.927388966,-24701.9325,26636,-0.927388966,,,,
-30444.875,32440,-0.938497996,-26551.81548,32440,-0.818489996,,,,
-11145,14097,-0.790593743,-7477.750032,14097,-0.530449743,,,,
-15413,33381,-0.461729726,-8066.016725,32713.38,-0.24656629,,,,
-16672,16630,-1.002525556,-16671.95559,16630,-1.002522886,,,,
-19012,30984,-0.613607023,-11571.12422,29744.64,-0.38901544,,,,
-23783.75,35775,-0.664814815,-15914.68822,31482,-0.505517064,,,,
-41064,53085,-0.773551851,-30442.7532,46714.8,-0.651672558,,,,
-9520,20507,-0.464231726,-5007.22958,18866.44,-0.26540405,,,,
-36150,43157,-0.837639317,-26649.41802,42293.86,-0.630101344,,,,
-12090,25043,-0.482769636,-6578.0357,22037.84,-0.298488223,,,,
-28720,33666,-0.8530862,-21985.33079,32992.68,-0.666369958,,,,
-22673.99271,31682,-0.715674285,-15700.78451,30414.72,-0.516223214,,,,
-20267.43296,26248,-0.772151515,-14494.75804,25723.04,-0.563493197,,,,
-13532.5,26524,-0.510198311,-7693.50664,25993.52,-0.295977868,,,,
-21896,38854,-0.563545581,-13342.68044,38076.92,-0.350413858,,,,
-12361.66856,14342,-0.861920831,-10065.17015,14342,-0.701796831,,,,
-12114,29119,-0.416017034,-6286.356292,28536.62,-0.220290851,,,,
-10790,18759,-0.575190575,-5910.03374,17633.46,-0.335160186,,,,
-30750,42716,-0.719870774,-21346.49976,41861.68,-0.509929362,,,,
-27583.22488,35535,-0.776226956,-20471.53426,34824.3,-0.587851996,,,,
-34074,36088,-0.944191975,-34081.71783,36088,-0.944405837,,,,
-20285,32278,-0.62844662,-13825.1393,31632.44,-0.437055735,,,,
-27667,32655,-0.847251569,-21134.17132,32001.9,-0.660403642,,,,
-20372.78425,32305,-0.630638732,-13261.16155,31658.9,-0.418876258,,,,
-16690,19625,-0.85044586,-16690,19625,-0.85044586,,,,
-30130.40587,38036,-0.792154955,-23281.20997,37275.28,-0.624575053,,,,
-32713,34703,-0.942656255,-32713,34703,-0.942656255,,,,
-22369.92905,30323,-0.7377215,-15694.62383,29716.54,-0.528144388,,,,
-27290.97087,37257,-0.732505861,-21326.87031,36511.86,-0.584108022,,,,
-7441,16388,-0.454051745,-3177.82568,15404.72,-0.206289091,,,,
-37081,45012,-0.823802542,-28073.19856,44111.76,-0.636410757,,,,
-24295.625,36294,-0.669411611,-16308.31362,35568.12,-0.458509295,,,,
-11509,18446,-0.623929307,-7449.28756,18077.08,-0.412084671,,,,
-26410,34385,-0.768067471,-18840.4861,33697.3,-0.559109665,,,,
-25268,31191,-0.810105479,-17780.28854,29943.36,-0.593797374,,,,
-22800,28774,-0.792382012,-16468.10866,27623.04,-0.596172929,,,,
-17484,29486,-0.592959371,-11583.08069,26537.4,-0.436481369,,,,
-10371,12315,-0.842143727,-7660.17294,12315,-0.622019727,,,,
-25890,33879,-0.764190206,-19787.579,33201.42,-0.595985925,,,,
-6394.875535,9356,-0.683505295,-4522.448206,9356,-0.483374114,,,,
-22105,30036,-0.735950193,-15491.27017,29435.28,-0.526282412,,,,
-22459.50823,24446,-0.918739599,-19526.5921,24446,-0.798764301,,,,
-14360,16297,-0.881143769,-10120.30286,16297,-0.620991769,,,,
-10643.8454,15616,-0.681598707,-7206.461152,15616,-0.461479326,,,,
-21682.8877,25652,-0.845270844,-19630.83031,25652,-0.765274844,,,,
-26766,31689,-0.844646407,-20426.65327,31055.22,-0.65775265,,,,
-23231.89427,30166,-0.770135062,-15987.83103,28959.36,-0.552078189,,,,
-26378,27307,-0.965979419,-26378,27307,-0.965979419,,,,
-24286,26292,-0.923703028,-17972.02878,26292,-0.683555028,,,,
-21023,27976,-0.751465542,-14304.84336,26856.96,-0.532630773,,,,
-14813,22740,-0.651407212,-10261.99832,22285.2,-0.46048491,,,,
-41273,43228,-0.954774683,-41273,43228,-0.954774683,,,,
-11602,18546,-0.62557964,-6777.44356,17433.24,-0.388765574,,,,
-20184.83723,28112,-0.718014984,-15121.9922,27549.76,-0.548897421,,,,
-26969,32937,-0.818805599,-21695.25931,32278.26,-0.672132243,,,,
-11587,23569,-0.491620349,-6870.088892,23097.62,-0.297437091,,,,
-31086.1971,38055,-0.816875499,-24231.57828,37293.9,-0.649746427,,,,
-29040.83363,44027,-0.659614183,-20231.91147,41385.38,-0.488866152,,,,
-23339.99036,33267,-0.701595887,-18014.20979,32601.66,-0.552554986,,,,
-26642,28625,-0.930724891,-26643.87916,28625,-0.930790538,,,,
-19643,27663,-0.710082059,-13553.26718,27109.74,-0.499940877,,,,
-17493,25439,-0.687644955,-11892.85854,24930.22,-0.477045872,,,,
-28762,37736,-0.762189951,-20461.3064,35471.84,-0.576832394,,,,
-20706.59157,28659,-0.722516193,-13825.77774,27512.64,-0.502524576,,,,
-8916.75,18942,-0.470739626,-4746.85812,18563.16,-0.255713904,,,,
-17851,28809,-0.619632754,-13238.6791,27080.46,-0.488864632,,,,
-8268,11222,-0.736767065,-5124.26892,11222,-0.456627065,,,,
-17543,20468,-0.857094,-17545.04546,20468,-0.857193935,,,,
-29391,41378,-0.710304993,-20282.04708,40550.44,-0.50016836,,,,
-18821.77749,26740,-0.703880983,-14005.26173,26205.2,-0.534445901,,,,
-28619.90813,41628,-0.68751581,-19458.41789,35800.08,-0.543530011,,,,
-32384.02661,52374,-0.618322576,-21903.98921,47136.6,-0.464691751,,,,
-27272.98868,33217,-0.821055143,-19963.38853,31888.32,-0.626040774,,,,
-28621,35603,-0.80389293,-21495.80159,34890.94,-0.616085482,,,,
-19446,26393,-0.736786269,-13107.98498,25337.28,-0.517339864,,,,
-27886,31897,-0.874251497,-21504.81377,31259.06,-0.687954589,,,,
-12556.85752,25501,-0.492406475,-7453.343868,24990.98,-0.29824136,,,,
-28334.23088,30355,-0.933428789,-22871.71972,30355,-0.753474542,,,,
-18074,31020,-0.582656351,-11865.66202,27918,-0.42501834,,,,
-31224.84869,33201,-0.940479163,-31224.84869,33201,-0.940479163,,,,
-23784,28842,-0.824630747,-18012.94654,28842,-0.624538747,,,,
-32647.875,42609,-0.766220165,-23270.48638,39200.28,-0.593630616,,,,
-10336,34277,-0.301543309,-2792.31784,29478.22,-0.094724778,,,,
-15340.0316,28298,-0.542088897,-9678.1702,25468.2,-0.380009981,,,,
-32469.375,34461,-0.942206407,-26263.08674,34461,-0.762110407,,,,
-7349.773375,20267,-0.362647327,-2077.633163,19050.98,-0.109056498,,,,
-20261.83533,28231,-0.717715821,-14611.90884,27666.38,-0.528146756,,,,
-34511,36447,-0.946881774,-34511,36447,-0.946881774,,,,
-12727,15700,-0.810636943,-12727,15700,-0.810636943,,,,
-36436,44430,-0.820076525,-27544.6684,43541.4,-0.632608699,,,,
-27462.35917,34459,-0.79695752,-19877.18574,33769.82,-0.588607986,,,,
-10874.87513,12861,-0.84556995,-7529.471809,12861,-0.58544995,,,,
-14619.64862,24610,-0.594053174,-8218.587615,22641.2,-0.362992581,,,,
-13468,30442,-0.442415084,-6766.49812,29833.16,-0.226811311,,,,
-21157,23158,-0.913593575,-21157,23158,-0.913593575,,,,
-23628.95475,25599,-0.923042101,-18503.67059,25599,-0.722827868,,,,
-27763.24986,30756,-0.902693779,-27764.99,30756,-0.902750358,,,,
-12507,20487,-0.610484698,-7179.836321,19257.78,-0.37282783,,,,
-21825,29759,-0.733391579,-15273.85374,29163.82,-0.523726101,,,,
