r1,r2
24362,23387.52
42384,38145.6
29057,28475.86
40081,32866.42
29759,29759
25847,25847
45701,44786.98
16498,16498
24767,23776.32
44737,42052.78
44218,43333.64
19586,19194.28
39605,37228.7
23946,23467.08
29981,29381.38
37039,32594.32
25527,24505.92
24372,23884.56
18381,18381
46627,44761.92
14963,14963
38408,37639.84
33965,33285.7
41343,33901.26
31502,30871.96
19389,19001.22
39041,38260.18
20452,20042.96
9723,9723
38273,36742.08
20480,20070.4
41253,40427.94
21734,21734
32283,29700.36
21286,20434.56
21590,21590
44754,44754
37472,37472
41749,36739.12
26878,26340.44
18473,17734.08
15720,14776.8
21999,21119.04
30132,29529.36
53637,49346.04
24038,24038
25655,25141.9
32395,32395
42350,41503
16322,15342.68
44951,43152.96
26323,25796.54
39008,38227.84
32728,30764.32
24567,24075.66
33664,32990.72
39571,38779.58
37586,36834.28
34777,34081.46
28333,28333
25480,24970.4
23742,20418.12
29207,28038.72
18114,18114
38872,34207.36
16974,15955.56
17653,16593.82
40978,40158.44
17761,16695.34
35151,33744.96
26333,25806.34
34642,31177.8
37241,36496.18
30270,29664.6
41963,40284.48
22406,21957.88
29218,28633.64
8369,8369
16036,15073.84
16399,16399
20595,20595
39781,38985.38
29030,28449.4
21734,21299.32
35355,31819.5
22899,20609.1
18735,18735
22014,22014
15158,15158
22190,22190
41526,39864.96
47350,41668
30957,30957
21659,18193.56
50636,49623.28
38941,38162.18
41558,40726.84
21478,21478
45590,44678.2
32795,32795
21508,21508
22890,22432.2
45864,41277.6
19379,18991.42
25151,25151
14736,14736
19252,18481.92
25897,25897
40760,39944.8
26397,25341.12
16614,15617.16
31113,28001.7
25156,24652.88
32836,32179.28
43350,41616
32382,31734.36
23580,23580
30191,27775.72
38032,34989.44
22023,22023
20009,19608.82
27527,26976.46
11564,11564
24783,24287.34
48255,47289.9
36376,35648.48
27973,26854.08
36855,36117.9
18895,18895
34360,33672.8
37838,37838
32896,32238.08
38011,34209.9
40209,39404.82
38492,38492
27792,27236.16
28394,27826.12
25143,24640.14
32095,30169.3
18256,18256
28625,28625
17670,17316.6
29141,28558.18
31557,31557
8856,8856
48482,42664.16
32744,32089.12
22216,21771.68
36082,35360.36
15742,15742
28581,28009.38
16048,16048
27511,27511
28745,25870.5
42061,39537.34
16471,16141.58
27656,27102.88
18260,18260
