iso_o,iso_d,Distw,Dist_coord,Evercol,Comlang,Contig
ADEN,QAT,,1549.590296,0,1,0
ADEN,RWA,,2324.415048,0,1,0
ADEN,SAU,,1330.650541,0,1,1
ADEN,SDN,,1383.427441,0,1,0
ADEN,SEN,,6728.57358,0,0,0
ADEN,SGP,,6600.186261,0,1,0
ADEN,SHN,,6428.155258,0,1,0
ADEN,SLE,,6372.996441,0,1,0
ADEN,SLV,,14174.96679,0,0,0
ADEN,SOM,,1194.788556,0,0,0
ADEN,STP,,4446.633414,0,0,0
ADEN,STRAITS,,6600.186261,0,0,0
ADEN,SUR,,10960.91693,0,0,0
ADEN,SWE,,5635.85519,0,0,0
ADEN,SYC,,2250.627811,0,1,0
ADEN,TCA,,12078.43323,0,1,0
ADEN,TGO,,4855.808443,0,0,0
ADEN,THA,,5990.554844,0,0,0
ADEN,TLS,,9205.44641,0,0,0
ADEN,TON,,15649.12366,0,0,0
ADEN,TTO,,11499.0014,0,1,0
ADEN,TUN,,4376.078102,0,1,0
ADEN,TUR,,3246.412048,0,0,0
ADEN,TZA,,2267.10945,0,0,0
ADEN,UGA,,1949.851947,0,1,0
ADEN,URY,,11827.18038,0,0,0
ADEN,USA,,12573.78968,0,1,0
ADEN,USSR,,4821.647782,0,0,0
ADEN,VCT,,11390.91825,0,1,0
ADEN,VEN,,12069.61962,0,0,0
ADEN,VNM,,6500.757703,0,0,0
ADEN,YUG,,4256.480522,0,0,0
ADEN,ZANZ,,2201.917682,0,1,0
ADEN,ZMB,,3635.887407,0,1,0
ADEN,ZWE,,3736.977881,0,1,0
AFG,ABW,13168.22376,13240.409,0,0,0
AFG,AGO,7573.253211,7600.494602,0,0,0
AFG,ALB,4250.737583,4334.409982,0,0,0
AFG,ANT,13004.56379,13200.92198,0,0,0
AFG,ARE,1657.193103,1814.219604,0,0,0
AFG,ARG,15341.16165,15268.55906,0,0,0
AFG,ARM,2171.301778,2259.340778,0,0,0
AFG,AUS,11086.14057,11428.53378,0,0,0
AFG,AUT,4567.30199,4560.277378,0,0,0
AFG,AUTHUN,,4559.794194,0,0,0
AFG,AZE,1821.71868,1817.854763,0,0,0
AFG,BDI,5849.066546,5920.803631,0,0,0
AFG,BEL,5331.891731,5407.308183,0,0,0
AFG,BEN,7330.657065,7480.764631,0,0,0
AFG,BFA,7464.209599,7474.066916,0,0,0
AFG,BGD,2488.676089,2378.300529,0,0,0
AFG,BGR,3819.042931,4034.135081,0,0,0
AFG,BHR,1940.469819,2002.572775,0,0,0
AFG,BHS,12427.12293,12505.25549,0,0,0
AFG,BIH,4374.742947,4427.205388,0,0,0
AFG,BLR,3766.026549,3876.578109,0,0,0
AFG,BLZ,13714.66112,13752.65022,0,0,0
AFG,BMU,11089.69095,11163.44107,0,0,0
AFG,BOL,15100.64901,15330.58402,0,0,0
AFG,BRA,13223.75192,13757.369,0,0,0
AFG,BRB,12371.20652,12449.5666,0,0,0
AFG,BRN,5823.199356,5740.29133,0,0,0
AFG,BWA,7847.091742,8007.692179,0,0,0
AFG,CAF,6083.534308,6184.363101,0,0,0
AFG,CAN,10516.29308,10447.8772,0,0,0
AFG,CHE,5136.084735,5148.847322,0,0,0
AFG,CHL,16262.29069,16334.60533,0,0,0
AFG,CHN,4434.382121,4847.397488,0,0,1
AFG,CIV,8067.372396,8135.641804,0,0,0
AFG,CMR,6632.051303,6831.654502,0,0,0
AFG,COD,6738.45082,7091.522336,0,0,0
AFG,COG,7110.931922,7091.115349,0,0,0
AFG,COL,14072.28391,14206.31023,0,0,0
AFG,COM,5802.082125,5822.593151,0,0,0
AFG,CPV,9225.148192,9313.154399,0,0,0
AFG,CRI,14260.46473,14323.64285,0,0,0
AFG,CUB,12859.24247,12933.99557,0,0,0
AFG,CUW,,13200.92198,0,0,0
AFG,CYM,13208.92917,13267.47654,0,0,0
AFG,CYP,3172.29943,3249.761575,0,0,0
AFG,CZE,4543.170618,4701.259467,0,0,0
AFG,CZSK,,4701.259467,0,0,0
AFG,DEU,4945.520213,4777.800315,0,0,0
AFG,DJI,3621.295283,3661.955235,0,0,0
AFG,DMA,12318.91312,12401.84221,0,0,0
AFG,DNK,4854.473988,4850.724794,0,0,0
AFG,DOM,12623.32518,12707.33509,0,0,0
AFG,DZA,5776.017808,5841.790793,0,0,0
AFG,ECU,15033.62518,14934.21959,0,0,0
AFG,EDEU,,4777.800315,0,0,0
AFG,EGY,3509.173821,3578.413547,0,0,0
AFG,ESP,6147.662614,6282.251052,0,0,0
AFG,EST,4112.194063,4233.354453,0,0,0
AFG,ETH,4114.43559,4199.461206,0,0,0
AFG,FIN,4243.3415,4252.322894,0,0,0
AFG,FJI,12941.14695,12873.05844,0,0,0
AFG,FLK,15386.3664,15433.08644,0,0,0
AFG,FRA,5500.664767,5580.523825,0,0,0
AFG,FRO,5888.946696,5951.148685,0,0,0
AFG,GAB,7167.722665,7251.185646,0,0,0
AFG,GBR,5694.557162,5706.40488,1,0,0
AFG,GBRIND,,1007.953359,0,0,1
AFG,GBRSOM,,3631.006003,0,0,0
AFG,GEO,2272.455692,2268.032771,0,0,0
AFG,GHA,7685.409384,6152.902703,0,0,0
AFG,GIB,6499.797116,6583.428643,0,0,0
AFG,GIN,8573.144174,8755.057377,0,0,0
AFG,GLP,12261.62269,12368.97277,0,0,0
AFG,GMB,8679.354248,8780.94211,0,0,0
AFG,GNB,8695.239621,8786.95049,0,0,0
AFG,GNQ,7024.810473,7082.061967,0,0,0
AFG,GRC,3981.455163,4053.189443,0,0,0
AFG,GRD,12605.83704,12694.24692,0,0,0
AFG,GRL,7655.878565,7892.280421,0,0,0
AFG,GTM,14094.44832,14144.18335,0,0,0
AFG,GUF,12447.90382,12491.19486,0,0,0
AFG,GUY,12765.90527,12832.04471,0,0,0
AFG,HKG,4656.973931,4565.7576,0,0,0
AFG,HND,13928.30575,14059.30716,0,0,0
AFG,HRV,4501.397688,4598.906395,0,0,0
AFG,HTI,12769.69132,12847.07517,0,0,0
AFG,HUN,4265.952722,4359.925057,0,0,0
AFG,IDN,6105.471254,6009.068464,0,0,0
AFG,IND,1741.230214,1767.338772,0,0,0
AFG,IRL,6052.053662,6077.045755,0,0,0
AFG,IRN,1553.816028,1616.879594,0,1,1
AFG,IRQ,2173.033468,2284.615801,0,0,0
AFG,ISL,6564.804103,6648.198085,0,0,0
AFG,ISR,3097.464587,3191.933329,0,0,0
AFG,ITA,4878.285503,4927.490002,0,0,0
AFG,JAM,13097.57479,5362.6572,0,0,0
AFG,JOR,3009.074896,3090.208098,0,0,0
AFG,JPN,6169.581521,6267.929787,0,0,0
AFG,KAZ,1647.539248,1178.917043,0,0,0
AFG,KEN,5167.670519,5216.832668,0,0,0
AFG,KGZ,996.8190021,1040.367525,0,0,0
AFG,KHM,4470.221684,4423.034418,0,0,0
AFG,KNA,11909.9999,12331.20296,0,0,0
AFG,KOR,5275.912133,5124.532578,0,0,0
AFG,KWT,2001.406757,2075.39772,0,0,0
AFG,LAO,3977.165616,3783.103299,0,0,0
AFG,LBN,2992.41851,3082.173183,0,0,0
AFG,LBR,8569.939399,8692.353936,0,0,0
AFG,LBY,4813.555173,5112.838749,0,0,0
AFG,LCA,12404.06418,12477.57141,0,0,0
AFG,LKA,3277.398036,3258.170364,0,0,0
AFG,LSO,8310.679919,8338.827786,0,0,0
AFG,LTU,4068.192673,4037.677127,0,0,0
AFG,LUX,5224.883586,5296.895992,0,0,0
AFG,LVA,4098.595037,4178.578093,0,0,0
AFG,MAC,4512.573242,4515.988586,0,0,0
AFG,MAR,6734.63333,6886.307452,0,0,0
AFG,MDA,3544.93143,3613.743646,0,0,0
AFG,MDG,6386.71084,6368.475764,0,0,0
