value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,diff_1,change_1,change_1  pct,diff_2,change_2,change_2 pct,,Employee,dc1 diff,dc1 ,dc1 pct,dc2 diff
-21823,28786,-0.758111582,-15486.62568,28210.28,-0.548971002,6336.37432,0.290353037,29.03530367,0.20914058,0.275870446,27.58704456,,108,0.20914058,0.275870446,27.58704456,
-16705,24662,-0.677357879,-11276.40056,24168.76,-0.466569264,5428.59944,0.324968539,32.49685388,0.210788615,0.311192386,31.11923865,,109,0.210788615,0.311192386,31.11923865,
-30245,37187,-0.81332186,-22060.53853,36443.26,-0.605339328,8184.461474,0.270605438,27.0605438,0.207982532,0.255719835,25.57198347,,110,0.207982532,0.255719835,25.57198347,
-13246,21213,-0.624428417,-7727.65018,19940.22,-0.387540869,5518.34982,0.416604999,41.66049992,0.236887548,0.37936702,37.93670205,,111,0.236887548,0.37936702,37.93670205,
-8043,17976,-0.447429907,-4446.391749,17616.48,-0.252399557,3596.608251,0.447172479,44.71724793,0.195030349,0.435890285,43.5890285,,112,0.195030349,0.435890285,43.5890285,
-21813,27821,-0.784048021,-15132.06506,26708.16,-0.566570855,6680.93494,0.30628226,30.62822601,0.217477166,0.277377354,27.73773543,,113,0.217477166,0.277377354,27.73773543,
-34457,37433,-0.920497956,-34462.99926,37433,-0.920658223,-5.999257674,-0.000174109,-0.017410853,-0.000160267,-0.000174109,-0.017410853,,114,-0.000160267,-0.000174109,-0.017410853,
-21582,23569,-0.915694344,-21581.39159,23569,-0.91566853,0.608409723,2.81906E-05,0.002819061,2.5814E-05,2.81906E-05,0.002819061,,115,2.5814E-05,2.81906E-05,0.002819061,
-14567,16520,-0.881779661,-14567,16520,-0.881779661,0,0,0,0,0,0,,116,0,0,0,
-6979,8983,-0.776911945,-6799.807116,8983,-0.756963945,179.192884,0.025676011,2.567601146,0.019948,0.025676011,2.567601146,,117,0.019948,0.025676011,2.567601146,
-27036,30980,-0.872692059,-21456.39489,30360.4,-0.706723063,5579.60511,0.206376872,20.6376872,0.165968996,0.190180482,19.01804816,,118,0.165968996,0.190180482,19.01804816,
-28180,50169,-0.561701449,-19145.65591,45152.1,-0.424025813,9034.344094,0.320594184,32.05941836,0.137675636,0.245104648,24.51046484,,119,0.137675636,0.245104648,24.51046484,
-13879.5023,21820,-0.636090848,-9512.622058,21383.6,-0.444855967,4366.88024,0.314628014,31.46280138,0.191234881,0.30064083,30.06408304,,120,0.191234881,0.30064083,30.06408304,
-15329.90299,18309,-0.837287836,-15329.90299,18309,-0.837287836,0,0,0,0,0,0,,121,0,0,0,
-30965,42926,-0.721357685,-22375.5074,38633.4,-0.579175206,8589.4926,0.277393593,27.73935928,0.142182479,0.197103992,19.7103992,,122,0.142182479,0.197103992,19.7103992,
-10211,17132,-0.596019145,-6096.92152,16446.72,-0.370707443,4114.07848,0.40290652,40.29065204,0.225311702,0.378027625,37.80276254,,123,0.225311702,0.378027625,37.80276254,
-18839,21766,-0.865524212,-18842.55,21766,-0.86568731,-3.55,-0.000188439,-0.018843888,-0.000163098,-0.000188439,-0.018843888,,124,-0.000163098,-0.000188439,-0.018843888,
