Expected Tenure 1,Expected Tenure 2,,,,,
10,10,,,,,
7,7,,,,,
2.116727422,2.183966247,,,,,
9,15,,,,,
16,79.06573627,,,,,
3.095426526,4.727100916,,,,,
7,7,,,,,
9.263934313,11.0170402,,,,,
7,62.30025931,,,,,
9,79.40399334,,,,,
4,2.203557879,,,,,
4,2.151500032,,,,,
9.204014956,8.306913985,,,,,
12.25,12.25,,,,,
3,0.125231618,,,,,
7,2.994009035,,,,,
0.02,0.125134562,,,,,
7.74,35.73509452,,,,,
3,3,,,,,
16,61.43847728,,,,,
7,50.52684228,,,,,
18.625,40.92969404,,,,,
7.246082794,55.896376,,,,,
2.15191925,2.372572323,,,,,
11,28.79394687,,,,,
4,3.050513841,,,,,
4.040958665,10,,,,,
7,7,,,,,
2.003826348,2.369490122,,,,,
6.25,13,,,,,
8,12,,,,,
4,2.112600639,,,,,
7,10,,,,,
3,3,,,,,
4,3.437883706,,,,,
7.127628652,7.205928117,,,,,
4,4,,,,,
3.081247554,3.314575424,,,,,
7.030591482,15,,,,,
9,67.98595434,,,,,
3,2.060997334,,,,,
2.03599749,2.142212825,,,,,
2.073457541,2.005213481,,,,,
7,87.62539186,,,,,
14,15,,,,,
9,9,,,,,
15,14,,,,,
7.181153677,7.005438561,,,,,
4.085222521,4.085222521,,,,,
3,2.566024988,,,,,
7,3.885735066,,,,,
3.030291095,14.375,,,,,
2,1.095836913,,,,,
7,4.368479161,,,,,
4,2.030535461,,,,,
5,32.22683396,,,,,
7,102.5231876,,,,,
4,34.84417517,,,,,
17,90.41520534,,,,,
9.5,48.48825901,,,,,
4,4,,,,,
9,9,,,,,
3,13,,,,,
9,75.84988549,,,,,
8.280466419,15,,,,,
7,12,,,,,
2.033753183,2.033753183,,,,,
2,2,,,,,
3,2.429853575,,,,,
8.007320294,11.09841638,,,,,
4.117107424,78.05062379,,,,,
2.03746136,2.353723561,,,,,
15,8.390295541,,,,,
7,2.092165461,,,,,
2,2,,,,,
4,2.31710514,,,,,
4,28,,,,,
9.051190703,9.381412422,,,,,
4,10,,,,,
9,12.25,,,,,
2,0.38118683,,,,,
0.04,0.266677853,,,,,
9.375,10,,,,,
8.432528328,66.18402631,,,,,
15,9,,,,,
0.005572501,0.079726315,,,,,
0.04,0.257871051,,,,,
7,2.154463454,,,,,
8,74.62612393,,,,,
3.03940537,3.028819483,,,,,
2.210557729,2.108331129,,,,,
13,13,,,,,
4.157345172,82.56692351,,,,,
0.013976258,0.193112506,,,,,
3,2.075658321,,,,,
4,2.119778817,,,,,
3,2.401608712,,,,,
8,10,,,,,
0.028608591,0.003426397,,,,,
4,4,,,,,
9,11.75,,,,,
7,14,,,,,
2,2,,,,,
15,15,,,,,
8,87.94863637,,,,,
4,4,,,,,
20.5,20.625,,,,,
7,7,,,,,
13,13.1815517,,,,,
1.188816908,0.476209768,,,,,
9,9,,,,,
7.1,8.846225759,,,,,
3.651610217,88.34002337,,,,,
13,12.60422846,,,,,
